onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
482.8393	0.834	CD	D	Incorrect	0.821	484.4239	0.5171	-1	-0.6967	0.6967	0.7883	34	4.5775	0.0694	3e-04
487.3596	0.8007	CD	C	Correct	0.795	488.9109	0.5171	1	0.2117	0.7883	0.6965	34	4.5775	0.0694	3e-04
491.3795	1.1009	CD	C	Correct	1.09	493.231	0.5171	-1	-0.803	0.803	0.6965	34	4.5775	0.0694	3e-04
495.3994	0.9008	BA	A	Correct	0.894	497.0508	0.5171	1	0.1582	0.8418	0.5659	12	4.5775	0.0694	3e-04
499.9198	1.1676	AB	A	Correct	1.164	501.838	0.5171	1	0.1472	0.8528	0.5659	12	4.5775	0.0694	3e-04
502.9555	1.1009	BA	A	Correct	1.095	504.807	0.5171	-1	-0.863	0.863	0.5659	12	4.5775	0.0694	3e-04
506.9921	0.9675	EF	E	Correct	0.958	508.7102	0.5171	1	0.1491	0.8509	0.5664	56	4.5775	0.0694	3e-04
514.7484	1.1342	FE	E	Correct	1.12	516.6332	0.5171	1	0.1388	0.8612	0.5664	56	4.5775	0.0694	3e-04
519.2687	1.0342	AB	A	Correct	1.024	521.0535	0.517	1	0.1372	0.8628	0.5659	12	4.5775	0.0694	3e-04
524.2894	0.9341	CD	C	Correct	0.923	525.9741	0.5171	1	0.1972	0.8028	0.6965	34	4.5775	0.0694	3e-04
527.8089	1.0342	EF	E	Correct	1.026	529.5937	0.5171	1	0.1291	0.8709	0.5664	56	4.5775	0.0694	3e-04
530.8447	0.7673	DC	C	Correct	0.752	532.3626	0.5171	1	0.1835	0.8165	0.6965	34	4.5775	0.0694	3e-04
534.8813	1.1843	AB	A	Correct	1.179	536.8162	0.517	1	0.1277	0.8723	0.5659	12	4.5775	0.0694	3e-04
542.9211	0.9674	CD	C	Correct	0.961	544.6391	0.5171	1	0.1708	0.8292	0.6965	34	4.5775	0.0694	3e-04
547.4414	0.884	EF	E	Correct	0.879	549.076	0.5171	1	0.1202	0.8798	0.5664	56	4.5775	0.0694	3e-04
552.4621	0.8507	AB	A	Correct	0.834	554.0634	0.5171	-1	-0.8812	0.8812	0.5659	12	4.5775	0.0694	3e-04
554.9975	1.1509	AB	A	Correct	1.146	556.899	0.5171	-1	-0.8809	0.8809	0.5659	12	4.5775	0.0694	3e-04
560.0182	0.7506	CD	C	Correct	0.734	561.5194	0.5171	1	0.1589	0.8411	0.6965	34	4.5775	0.0694	3e-04
563.5377	0.8841	DC	C	Correct	0.88	565.1724	0.517	1	0.1479	0.8521	0.6965	34	4.5775	0.0694	3e-04
572.5616	1.0342	BA	A	Correct	1.029	574.3464	0.5171	1	0.1193	0.8807	0.5659	12	4.5775	0.0694	3e-04
575.097	0.8841	DC	C	Correct	0.872	576.7317	0.5171	1	0.1376	0.8624	0.6965	34	4.5775	0.0694	3e-04
588.4411	0.8674	EF	F	Incorrect	0.857	590.0591	0.5171	1	0.4336	0.5664	0.8882	56	4.5775	0.0694	3e-04
